"","transactionId","fromCustomerId","fromAccountNo","toCustomerId","toAccountNo","transactionSource","debitCreditIndicator","amount","timeOfTransaction","date","status","chequeId","wireId","onlineId","branchCode","description","tran_cluster"
"1",412220,184,20656,538,17015,"Wire","debit",419,"01:16:28",2020-07-11,"Completed","",7378133,"","USA-AZ85381","",1
"2",5108166,184,20656,538,17015,"Wire","debit",74,"03:49:34",2020-07-11,"Completed","",7444976,"","USA-AZ85381","",1
"3",2451115,184,20656,538,17015,"Wire","debit",658,"00:27:11",2020-07-11,"Completed","",606600,"","USA-AZ85381","",1
"4",3640322,184,20656,538,17015,"Wire","debit",993,"02:37:11",2020-07-11,"Completed","",8868531,"","USA-AZ85381","",1
"5",1865342,184,20656,538,17015,"Wire","debit",73,"02:59:16",2020-07-11,"Completed","",5754193,"","USA-AZ85381","",1
"6",2329917,184,20656,538,17015,"Wire","debit",129,"01:48:44",2020-07-11,"Completed","",7532332,"","USA-AZ85381","",1
"7",4877616,627,48093,646,42914,"Wire","debit",893,"01:37:37",2020-07-11,"Completed","",5613279,"","USA-WY83113","",1
"8",7427776,627,48093,646,42914,"Cash","credit",499,"02:22:54",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"9",8677330,627,48093,646,42914,"Cash","credit",534,"00:33:00",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"10",2944241,627,48093,646,42914,"Cash","credit",86,"01:41:31",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"11",297343,627,48093,646,42914,"Cash","credit",70,"00:50:59",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"12",9786243,627,48093,646,42914,"Cash","credit",989,"00:45:23",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"13",2972512,627,48093,646,42914,"Cash","credit",233,"00:11:53",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"14",8419182,627,48093,646,42914,"Cash","credit",608,"00:14:13",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"15",8511438,627,48093,646,42914,"Cash","credit",823,"00:41:50",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"16",6229657,627,48093,646,42914,"Cash","credit",497,"02:15:15",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"17",7466986,627,48093,646,42914,"Cash","credit",772,"02:38:01",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"18",1844237,627,48093,646,42914,"Cash","credit",935,"02:38:58",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"19",6120456,627,48093,646,42914,"Cash","credit",152,"00:39:25",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"20",7627881,627,48093,646,42914,"Cash","credit",525,"03:37:30",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"21",2316541,627,48093,646,42914,"Cash","credit",217,"01:19:12",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"22",6963275,627,48093,646,42914,"Cash","credit",693,"01:12:41",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"23",9193066,627,48093,646,42914,"Cash","credit",805,"00:43:14",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"24",5838779,627,48093,646,42914,"Cash","credit",123,"00:04:26",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"25",9590395,627,48093,646,42914,"Cash","credit",468,"00:52:14",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"26",1693765,627,48093,646,42914,"Cash","credit",322,"01:48:02",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"27",760178,627,48093,646,42914,"Cash","credit",639,"02:58:59",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"28",6425533,627,48093,646,42914,"Cash","credit",679,"02:47:03",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"29",6613317,627,48093,646,42914,"Cash","credit",947,"02:29:15",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"30",3591461,627,48093,646,42914,"Cash","credit",294,"02:14:04",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"31",9636853,627,48093,646,42914,"Cash","credit",447,"00:51:00",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"32",4230268,627,48093,646,42914,"Cash","credit",5,"03:24:34",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"33",7154728,627,48093,646,42914,"Cash","credit",591,"03:49:33",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"34",6609870,627,48093,646,42914,"Cash","credit",544,"00:45:02",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"35",2797322,627,48093,646,42914,"Cash","credit",781,"02:15:37",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"36",3028627,627,48093,646,42914,"Cash","credit",953,"00:03:09",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"37",1178025,627,48093,646,42914,"Cash","credit",225,"01:09:27",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"38",7544488,627,48093,646,42914,"Cash","credit",963,"00:36:06",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"39",1418417,627,48093,646,42914,"Cash","credit",401,"03:11:21",2020-07-11,"Completed","",0,"","USA-WY83113","",1
"40",4338898,627,48093,646,42914,"Cash","credit",956,"00:10:12",2020-07-11,"Completed","",0,"","USA-WY83113","",1
