"","customerId","primaryAccountNumber","balance","Salary","firstName","lastName","middleName","alias","passport","fatherLastName","fatherFirstName","fatherMiddleName","spouseLastName","spouseFirstName","spouseMiddleName","dateOfBirth","marital_Status","addressLine1","addressLine2","addressCity","addressZipCode","addressState","addressCountry","primaryPhone","secondaryPhone","landLinePhone","primaryEmailId","secondaryEmailId","primaryOccupation","primaryOccupationEmployerName","primaryOccupationAddressLine1","primaryOccupationAddressLine2","primaryOccupationAddressCity","primaryOccupationAddressZipCode","primaryOccupationAddressState","primaryOccupationAddressCountry","primaryOccupationPrimaryPhone","primaryOccupationSecondaryPhone","debitCardNo","primaryBranchcode","accountType","kyc_cluster"
"662",662,10481,47752,191008,"Margaret","Ruiz","Jose","Ruiz","361682582-2","Schmidt","Katherine","Bobby","","","","21-Jun-03","Unmarried","138 Pierstorff Court","71704 Petterle Hill","R S",395003,"Gujarat","USA",9089055628,9217164756,9868125805,"mbryantid@slate.com","mbryantid@friendfeed.com","Private","quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et","027 Rigney Avenue","08 4th Court","Agraharam",532663,"Andhra Pradesh","India",9269239951,8130806349,9871569162,"USA-WV25984","Current",3
"504",504,10510,61830,247320,"Patrick","Hall","Stephanie","Hall","760728407-9","Arnold","Kevin","Elizabeth","Foster","Henry","Teresa","13-Apr-06","Married","13 Helena Park","41826 Delaware Crossing","Sadar Bazar",281002,"Uttar Pradesh","USA",9200180661,9186057655,8536587773,"tfosterdz@com.com","tfosterdz@blogger.com","Private","venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi","95 Bay Pass","77 6th Plaza","Sadar Bazar",281002,"Uttar Pradesh","India",8336600200,9650925802,9384859679,"USA-MS39466","Current",3
"585",585,10510,51820,207280,"Victor","Larson","Louis","Larson","843691751-0","Jones","Brenda","Wanda","","","","04-Oct-04","Divorced","4 Morning Crossing","49 Main Junction","Agraharam",532663,"Andhra Pradesh","USA",8862046118,8132126955,9735012574,"amedinag8@mit.edu","amedinag8@mediafire.com","Private","nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi","529 Burrows Way","8 Hanson Terrace","Sadar Bazar",281002,"Uttar Pradesh","India",9732958923,9538056871,8221211117,"USA-NM87002","Savings",3
"434",434,11098,45659,182636,"Russell","Robinson","Sharon","Robinson","067150083-X","Stewart","Matthew","Joan","","","","04-Jun-93","Divorced","02448 Alpine Pass","27426 Rockefeller Place","R S",395003,"Gujarat","USA",8914230909,9344567129,8993242340,"kdeanc1@japanpost.jp","kdeanc1@ow.ly","Private","nulla integer pede justo lacinia eget tincidunt eget tempus vel","834 Lindbergh Road","5910 1st Plaza","Sadar Bazar",281002,"Uttar Pradesh","India",8633575357,9730331439,8927573353,"USA-CT6492","Current",3
"299",299,11135,59857,239428,"Henry","Harris","Kevin","Harris","965511960-2","Torres","Annie","Wayne","","","","24-Jan-10","Divorced","21443 Summit Point","5 Alpine Park","Agraharam",532663,"Andhra Pradesh","USA",9479730859,8693426199,9454811140,"amoore8a@free.fr","amoore8a@wordpress.org","Private","eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices","0437 Forest Run Lane","201 Drewry Pass","Agraharam",532663,"Andhra Pradesh","India",8597353753,8303149402,8376059730,"USA-NM87002","Current",3
"344",344,11991,52652,210608,"Jonathan","Evans","Jack","Evans","809295887-4","Rivera","Benjamin","Shawn","","","","24-Mar-12","Unmarried","78 Killdeer Court","338 Myrtle Avenue","R S",395003,"Gujarat","USA",9230819125,9255653736,8732424917,"htucker9j@addtoany.com","htucker9j@statcounter.com","Private","enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae","87 Reindahl Avenue","27 Nancy Road","R S",395003,"Gujarat","India",8830076530,8628827018,8507195720,"USA-NM87002","Savings",3
"810",810,12044,50724,202896,"Jesse","Fowler","Antonio","Fowler","670979182-3","Hughes","Anna","Diana","Lawrence","Jerry","Charles","30-Apr-81","Married","6276 Delladonna Alley","479 Warner Avenue","Agraharam",532663,"Andhra Pradesh","USA",8104256545,9400294660,8568839088,"clawrencemh@utexas.edu","clawrencemh@mapy.cz","Private","primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis","4721 Crest Line Junction","8900 Johnson Junction","Agraharam",532663,"Andhra Pradesh","India",8886167082,9265087817,9418506643,"USA-PA19526","Current",3
"743",743,12157,57623,230492,"Norma","Kelley","Earl","Kelley","173473111-7","Matthews","Ashley","Nicole","","","","10-Nov-11","Divorced","02 Graedel Parkway","22886 Eagle Crest Pass","R S",395003,"Gujarat","USA",9509409375,8502020673,8777510197,"abellkm@123-reg.co.uk","abellkm@cornell.edu","Private","orci mauris lacinia sapien quis libero nullam sit amet turpis","84618 Dayton Point","28 Macpherson Drive","Sadar Bazar",281002,"Uttar Pradesh","India",8283906732,8538926548,9814685384,"USA-MS39466","Current",3
"949",949,12190,51270,205080,"Betty","Allen","Phyllis","Allen","948560641-9","Cox","Douglas","Diana","","","","10-Nov-75","Divorced","21 Bartelt Center","0871 Becker Street","Sadar Bazar",281002,"Uttar Pradesh","USA",9800584139,8599488914,8453075690,"thamiltonqc@wordpress.org","thamiltonqc@amazon.com","Private","urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec","50070 Mockingbird Parkway","0668 Trailsway Court","Sadar Bazar",281002,"Uttar Pradesh","India",9393809415,9444579304,8944168529,"USA-NM87002","Savings",3
"654",654,12290,53412,213648,"Margaret","Flores","Diane","Flores","744908511-9","Chavez","Bruce","Irene","","","","25-Dec-92","Divorced","138 Comanche Way","5381 Quincy Place","R S",395003,"Gujarat","USA",8558781506,8144369417,8137392803,"shunti5@jalbum.net","shunti5@aol.com","Private","volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in","09512 Pankratz Trail","4532 Bartillon Court","Agraharam",532663,"Andhra Pradesh","India",8656609595,8925867449,9258294021,"USA-GA30519","Savings",3
"853",853,13268,44503,178012,"Anna","Riley","Carolyn","Riley","551923994-0","Hawkins","Frances","Annie","","","","21-Jul-72","Unmarried","368 Hooker Court","4 Division Terrace","Sadar Bazar",281002,"Uttar Pradesh","USA",8291725330,9134014287,8107847528,"lnicholsno@bravesites.com","lnicholsno@sogou.com","Private","pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus","70 American Trail","48437 Bluestem Hill","Agraharam",532663,"Andhra Pradesh","India",8926851889,8656133879,9428851931,"USA-ME4947","Savings",3
"973",973,13270,55093,220372,"Beverly","Bell","Irene","Bell","984535684-2","Wright","Katherine","Janet","","","","04-Jan-89","Divorced","05 Boyd Pass","3 Mockingbird Hill","R S",395003,"Gujarat","USA",8884299869,9776217367,9601757655,"swillisr0@shop-pro.jp","swillisr0@qq.com","Private","et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse","08 Armistice Trail","6336 Dixon Circle","Agraharam",532663,"Andhra Pradesh","India",9205275347,8980982182,8576445091,"USA-WA98116","Current",3
"589",589,13774,61569,246276,"Arthur","Mitchell","Willie","Mitchell","184297132-8","Lewis","Marie","Ruth","","","","25-Oct-11","Divorced","008 Cambridge Plaza","4 Manitowish Trail","R S",395003,"Gujarat","USA",8268298568,8329899138,9010502418,"tnelsongc@adobe.com","tnelsongc@usnews.com","Private","vel est donec odio justo sollicitudin ut suscipit a feugiat et eros","7 Norway Maple Junction","6 Cottonwood Lane","Agraharam",532663,"Andhra Pradesh","India",9700997694,8412104269,9771777982,"USA-KS67337","Current",3
"23",23,13850,47259,189036,"Johnny","Mccoy","Kelly","Mccoy","340706803-4","Ward","Patrick","Gloria","Ellis","Earl","Elizabeth","10-Jan-94","Married","2 Bonner Plaza","39201 Buell Plaza","R S",395003,"Gujarat","USA",9785546875,9338338871,9336866200,"eellism@hibu.com","eellism@cisco.com","Public","rutrum rutrum neque aenean auctor gravida sem praesent id massa","2 Pine View Plaza","32 Loomis Way","Agraharam",532663,"Andhra Pradesh","India",8466427492,9030920423,8931190957,"USA-LA70301","Savings",3
"371",371,13892,53993,215972,"Jeffrey","Rivera","Anne","Rivera","346286340-1","Murphy","Mary","Lillian","","","","23-Apr-15","Unmarried","35 Grayhawk Parkway","4159 Longview Trail","R S",395003,"Gujarat","USA",8833324724,9035323013,8955477736,"dlopezaa@storify.com","dlopezaa@symantec.com","Private","cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel","64784 Helena Center","0 Coleman Crossing","Agraharam",532663,"Andhra Pradesh","India",8219770110,8527271992,8638612511,"USA-NM87002","Savings",3
"687",687,14149,45956,183824,"Wanda","Snyder","Diane","Snyder","826603360-9","Patterson","Carlos","Carol","Ray","Joan","Barbara","23-Mar-89","Married","1924 Kennedy Terrace","6167 Parkside Junction","R S",395003,"Gujarat","USA",8801227084,8268486907,8282236718,"brayj2@parallels.com","brayj2@mtv.com","Private","platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut","0 Mendota Point","5 Thierer Drive","Sadar Bazar",281002,"Uttar Pradesh","India",9114769976,9463152317,9450471520,"USA-WA98116","Savings",3
"464",464,14391,49584,198336,"David","Wood","Kathryn","Wood","111776771-X","Lee","Amy","Craig","","","","06-Jun-14","Unmarried","249 Farragut Avenue","21 Superior Way","Sadar Bazar",281002,"Uttar Pradesh","USA",9088012515,8705355259,8624632001,"ewardcv@marketwatch.com","ewardcv@constantcontact.com","Private","mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo","7123 Village Green Street","52 Grim Junction","R S",395003,"Gujarat","India",9075503623,8819307925,9168463941,"USA-PA19526","Savings",3
"440",440,14505,55110,220440,"Lillian","Kennedy","Kelly","Kennedy","846197981-8","Morris","Rebecca","Phyllis","","","","15-Sep-98","Divorced","5 Hanson Alley","38 Ridgeview Drive","Sadar Bazar",281002,"Uttar Pradesh","USA",8855028791,8113576055,9878358530,"abanksc7@deliciousdays.com","abanksc7@dell.com","Private","turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci","8 Twin Pines Terrace","21 Alpine Junction","Agraharam",532663,"Andhra Pradesh","India",8910302146,9037255815,8478814221,"USA-AR72703","Savings",3
"980",980,14832,51866,207464,"Christopher","Duncan","Diana","Duncan","615302472-6","Price","Rose","Kathleen","","","","14-Mar-91","Unmarried","17 Daystar Plaza","894 Bashford Alley","R S",395003,"Gujarat","USA",9840957536,9604339756,9474081787,"dricer7@trellian.com","dricer7@free.fr","Private","sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum","8 Doe Crossing Road","1 Loftsgordon Plaza","R S",395003,"Gujarat","India",8875447831,8302895653,9319593950,"USA-WY83113","Savings",3
"121",121,14986,44498,177992,"Beverly","Ford","Anthony","Ford","595944496-8","Ray","Steve","Denise","","","","13-Sep-07","Divorced","64 David Avenue","937 Gale Court","R S",395003,"Gujarat","USA",9376114272,9572859349,8869294126,"sreed3c@gnu.org","sreed3c@cam.ac.uk","Public","magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes","9 Bluejay Park","244 Florence Crossing","Sadar Bazar",281002,"Uttar Pradesh","India",9746152485,9432630295,9283056246,"USA-IN46815","Current",3
"944",944,15189,57768,231072,"Willie","Williamson","Beverly","Williamson","903799122-X","Garcia","Thomas","Christina","Sanders","Maria","Bobby","29-Aug-80","Married","45953 Old Gate Trail","87 Farwell Junction","R S",395003,"Gujarat","USA",8102506572,8900887477,8966139852,"bsandersq7@webeden.co.uk","bsandersq7@economist.com","Private","ipsum primis in faucibus orci luctus et ultrices posuere cubilia","38 Dennis Circle","07 Messerschmidt Road","Sadar Bazar",281002,"Uttar Pradesh","India",8574269112,9521863264,9734179066,"USA-GA30907","Savings",3
"828",828,15355,62280,249120,"Catherine","Knight","Marie","Knight","135007280-X","Stevens","Emily","Michael","","","","30-Dec-85","Unmarried","4911 Lunder Terrace","24249 Logan Drive","R S",395003,"Gujarat","USA",8328884258,9328248279,9579595688,"lrossmz@dell.com","lrossmz@plala.or.jp","Private","vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit","3338 Moulton Parkway","6281 Oak Valley Circle","Sadar Bazar",281002,"Uttar Pradesh","India",9598100505,8439300268,9028559929,"USA-AR72703","Current",3
