"","customerId","primaryAccountNumber","balance","Salary","firstName","lastName","middleName","alias","passport","fatherLastName","fatherFirstName","fatherMiddleName","spouseLastName","spouseFirstName","spouseMiddleName","dateOfBirth","marital_Status","addressLine1","addressLine2","addressCity","addressZipCode","addressState","addressCountry","primaryPhone","secondaryPhone","landLinePhone","primaryEmailId","secondaryEmailId","primaryOccupation","primaryOccupationEmployerName","primaryOccupationAddressLine1","primaryOccupationAddressLine2","primaryOccupationAddressCity","primaryOccupationAddressZipCode","primaryOccupationAddressState","primaryOccupationAddressCountry","primaryOccupationPrimaryPhone","primaryOccupationSecondaryPhone","debitCardNo","primaryBranchcode","accountType","kyc_cluster"
"521",521,10455,11425,45700,"Annie","Simmons","William","Simmons","488908610-2","Cox","Samuel","Bobby","","","","16-Aug-88","Unmarried","0090 Moulton Circle","78 Schurz Park","Sadar Bazar",281002,"Uttar Pradesh","USA",9594862898,8621548230,9363579552,"tburtoneg@sphinn.com","tburtoneg@accuweather.com","Private","elementum ligula vehicula consequat morbi a ipsum integer a nibh","31 Eagan Drive","7 Bunker Hill Pass","R S",395003,"Gujarat","India",8415390650,8254645702,8339396283,"USA-AZ86004","Savings",1
"102",102,10495,39969,159876,"Annie","Gutierrez","Martha","Gutierrez","145795511-3","Harper","Tammy","Louise","","","","23-Jun-89","Divorced","09 Stoughton Park","069 Talisman Circle","Agraharam",532663,"Andhra Pradesh","USA",8843075043,9744764048,8119706078,"dtorres2t@latimes.com","dtorres2t@opera.com","Public","sapien a libero nam dui proin leo odio porttitor id consequat in","51 Scott Place","158 Linden Terrace","R S",395003,"Gujarat","India",9321080494,9605909488,8532139399,"USA-AZ85381","Savings",1
"315",315,10586,22022,88088,"Linda","Webb","Joseph","Webb","515594915-7","Clark","Anthony","Kathy","","","","30-Aug-92","Unmarried","5 Stone Corner Plaza","5 Messerschmidt Drive","Agraharam",532663,"Andhra Pradesh","USA",8979221491,9854543287,9729913034,"vcruz8q@cnet.com","vcruz8q@yale.edu","Private","dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent","479 Golden Leaf Pass","60979 Jay Avenue","Sadar Bazar",281002,"Uttar Pradesh","India",9698198692,9649584529,8449297165,"USA-ME4947","Savings",1
"689",689,10673,36900,147600,"Deborah","Andrews","Deborah","Andrews","028451159-5","Johnston","Eric","Jason","","","","23-Mar-87","Divorced","92 Anderson Place","1 Carioca Lane","Agraharam",532663,"Andhra Pradesh","USA",8692761958,8189292708,9495228091,"cmcdonaldj4@networkadvertising.org","cmcdonaldj4@slideshare.net","Private","odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus","270 Waubesa Road","1604 Graedel Lane","R S",395003,"Gujarat","India",9704553141,8623875956,9674874951,"USA-ME4947","Savings",1
"154",154,10719,40299,161196,"Adam","Hart","Phyllis","Hart","874565571-5","Greene","Timothy","Harry","","","","24-May-79","Divorced","04753 Wayridge Terrace","15 Saint Paul Lane","Sadar Bazar",281002,"Uttar Pradesh","USA",8621692734,9630185433,9883867098,"jcrawford49@gizmodo.com","jcrawford49@usgs.gov","Public","nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus","34846 Oriole Terrace","45754 Old Gate Parkway","R S",395003,"Gujarat","India",8551274476,8706478921,9524217504,"USA-KS67337","Current",1
"622",622,11087,24689,98756,"Harry","Lopez","Tina","Lopez","000641217-3","Hernandez","Jonathan","Anthony","Foster","Phyllis","Virginia","06-Jun-88","Married","090 Shoshone Lane","3 Brickson Park Point","R S",395003,"Gujarat","USA",8948503190,8355333189,9816557186,"vfosterh9@mit.edu","vfosterh9@indiatimes.com","Private","erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero","98 Eliot Park","6999 Hoffman Terrace","R S",395003,"Gujarat","India",8409190143,8407855233,9686422803,"USA-NV89014","Savings",1
"568",568,11207,17134,68536,"Scott","Gordon","Henry","Gordon","870193308-6","Alexander","Amy","Carlos","","","","10-Jul-89","Unmarried","54 Waxwing Lane","36 Pierstorff Street","Agraharam",532663,"Andhra Pradesh","USA",8723081023,9871629439,8405583881,"sfrazierfr@facebook.com","sfrazierfr@uiuc.edu","Private","ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis","92231 Arkansas Circle","9278 Sutteridge Point","Sadar Bazar",281002,"Uttar Pradesh","India",8309557951,9349775961,9448681924,"USA-CT6492","Savings",1
"452",452,11254,32675,130700,"Johnny","Murphy","Eric","Murphy","843363735-5","Coleman","Gregory","Julia","","","","04-May-93","Divorced","550 Farmco Junction","4 American Lane","Sadar Bazar",281002,"Uttar Pradesh","USA",8871378713,8204297132,8912785078,"dwrightcj@home.pl","dwrightcj@tinypic.com","Private","ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat","663 Hazelcrest Lane","85090 Golf Drive","R S",395003,"Gujarat","India",9616934676,9889691689,9595967688,"USA-AR72335","Savings",1
"820",820,11356,21362,85448,"Scott","Brown","John","Brown","305781829-3","Foster","Jason","Clarence","Myers","Frank","Elizabeth","17-Sep-97","Married","81 Waywood Lane","9 Lukken Park","Agraharam",532663,"Andhra Pradesh","USA",8116550928,9810179210,8548304746,"emyersmr@gravatar.com","emyersmr@forbes.com","Private","leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque","54 Donald Crossing","663 Northview Lane","Agraharam",532663,"Andhra Pradesh","India",9814190629,8691798300,9865259730,"USA-NC28743","Current",1
"681",681,11459,27733,110932,"Stephanie","Barnes","Jerry","Barnes","630253475-5","Fields","Mark","Mary","","","","09-Dec-77","Divorced","3 Onsgard Parkway","19204 Delladonna Avenue","Agraharam",532663,"Andhra Pradesh","USA",9633022333,8107014868,9339699646,"mbanksiw@jalbum.net","mbanksiw@gravatar.com","Private","ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae","85 Tennessee Road","96 Rigney Terrace","Agraharam",532663,"Andhra Pradesh","India",8788267560,8134966336,9811815369,"USA-AR72703","Savings",1
